ano,mes,data,regiao,uf,municipio,populacao,chuva_mm,temperatura_media,casos_dengue,internacoes,obitos,incidencia_100k,nivel_alerta
2015,1,2015-01-01,Sudeste,ES,Vitória,2862253,185.7,26.4,1135,50,1,39.65,Médio
2015,1,2015-01-01,Sudeste,ES,Vila Velha,3919944,182.2,25.9,1480,86,2,37.76,Médio
2015,1,2015-01-01,Sudeste,ES,Serra,381872,137.4,26.9,124,5,0,32.47,Médio
2015,1,2015-01-01,Sul,PR,Curitiba,1156741,159.3,20.9,338,15,1,29.22,Médio
2015,1,2015-01-01,Sul,PR,Londrina,1099612,140.6,18.6,326,15,2,29.65,Médio
2015,1,2015-01-01,Sul,SC,Florianópolis,1909771,75.8,25.1,506,17,2,26.5,Médio
2015,1,2015-01-01,Sul,SC,Joinville,2225319,173.8,22.7,797,28,0,35.82,Médio
2015,1,2015-01-01,Sul,RS,Porto Alegre,2092885,147.7,17.5,532,29,2,25.42,Médio
2015,1,2015-01-01,Sul,RS,Caxias do Sul,4764007,127.8,23.1,1418,77,3,29.76,Médio
2015,2,2015-02-01,Norte,AM,Manaus,865279,116.3,28.1,312,8,0,36.06,Médio
2015,2,2015-02-01,Norte,PA,Belém,2436271,94.9,29.5,794,47,0,32.59,Médio
2015,2,2015-02-01,Norte,PA,Santarém,2855082,77.2,29.3,899,45,1,31.49,Médio
2015,2,2015-02-01,Norte,RO,Porto Velho,484043,119.8,26.6,153,3,0,31.61,Médio
2015,2,2015-02-01,Norte,TO,Palmas,3826247,125.9,23.4,1182,58,1,30.89,Médio
2015,2,2015-02-01,Nordeste,BA,Salvador,2296026,102.0,27.6,705,36,0,30.71,Médio
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,4726789,129.5,25.4,1551,77,2,32.81,Médio
2015,2,2015-02-01,Nordeste,PE,Recife,2746942,137.9,27.7,1021,44,1,37.17,Médio
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,1272570,144.5,28.1,486,21,0,38.19,Médio
2015,2,2015-02-01,Nordeste,CE,Fortaleza,3145933,163.3,25.9,1221,73,0,38.81,Médio
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,2089480,210.3,28.5,860,46,1,41.16,Médio
2015,2,2015-02-01,Nordeste,MA,São Luís,1767101,130.6,26.1,588,32,1,33.27,Médio
2015,2,2015-02-01,Nordeste,PB,João Pessoa,1412837,52.5,28.4,413,30,0,29.23,Médio
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,749710,162.4,27.2,293,9,0,39.08,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,3799192,169.2,28.4,1524,81,5,40.11,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,940367,90.3,27.8,287,19,1,30.52,Médio
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,1418964,87.8,23.4,356,16,0,25.09,Médio
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,757269,169.2,30.1,296,10,0,39.09,Médio
2015,2,2015-02-01,Sudeste,SP,São Paulo,3998610,112.1,31.7,1436,67,2,35.91,Médio
2015,2,2015-02-01,Sudeste,SP,Campinas,709298,214.5,27.6,302,15,0,42.58,Médio
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,1165072,178.0,25.6,447,23,1,38.37,Médio
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,3532387,138.6,26.4,1213,70,1,34.34,Médio
2015,2,2015-02-01,Sudeste,RJ,Niterói,3188365,172.9,26.5,1251,67,3,39.24,Médio
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,3591431,135.8,28.7,1322,80,1,36.81,Médio
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,1345138,65.1,26.3,378,23,1,28.1,Médio
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,1812573,119.1,24.0,591,30,3,32.61,Médio
2015,2,2015-02-01,Sudeste,MG,Uberlândia,2904598,105.6,29.5,1008,62,3,34.7,Médio
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,2585240,125.7,28.1,960,35,2,37.13,Médio
2015,2,2015-02-01,Sudeste,ES,Vitória,812753,145.4,26.1,292,15,0,35.93,Médio
2015,2,2015-02-01,Sudeste,ES,Vila Velha,3953802,153.8,25.4,1445,76,2,36.55,Médio
2015,2,2015-02-01,Sudeste,ES,Serra,3617904,112.8,26.8,1157,54,4,31.98,Médio
2015,2,2015-02-01,Sul,PR,Curitiba,3344671,163.9,20.1,1063,42,1,31.78,Médio
2015,2,2015-02-01,Sul,PR,Londrina,2818173,151.0,23.2,902,45,1,32.01,Médio
2015,2,2015-02-01,Sul,SC,Florianópolis,4186412,184.2,21.2,1414,72,1,33.78,Médio
2015,2,2015-02-01,Sul,SC,Joinville,876541,178.2,21.0,311,24,0,35.48,Médio
2015,2,2015-02-01,Sul,RS,Porto Alegre,4228986,183.0,21.0,1507,89,1,35.64,Médio
2015,2,2015-02-01,Sul,RS,Caxias do Sul,2259547,81.9,18.2,490,29,0,21.69,Médio
2015,3,2015-03-01,Norte,AM,Manaus,3651571,138.9,27.6,1384,66,1,37.9,Médio
2015,3,2015-03-01,Norte,PA,Belém,1322040,56.7,26.3,385,25,0,29.12,Médio
2015,3,2015-03-01,Norte,PA,Santarém,4672505,142.7,28.0,1803,88,4,38.59,Médio
2015,3,2015-03-01,Norte,RO,Porto Velho,1507577,164.2,25.1,524,35,0,34.76,Médio
2015,3,2015-03-01,Norte,TO,Palmas,2314813,164.2,25.4,850,36,1,36.72,Médio
2015,3,2015-03-01,Nordeste,BA,Salvador,1733443,72.2,29.1,552,34,2,31.84,Médio
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,2904887,149.2,25.6,1020,53,0,35.11,Médio
2015,3,2015-03-01,Nordeste,PE,Recife,3324406,117.7,28.1,1186,43,2,35.68,Médio
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,514868,189.4,30.1,250,7,0,48.56,Médio
2015,3,2015-03-01,Nordeste,CE,Fortaleza,2991299,69.8,22.8,684,29,0,22.87,Médio
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,3774983,152.3,28.2,1417,67,2,37.54,Médio
2015,3,2015-03-01,Nordeste,MA,São Luís,1125211,119.6,26.7,376,19,0,33.42,Médio
2015,3,2015-03-01,Nordeste,PB,João Pessoa,978492,157.1,29.7,408,18,0,41.7,Médio
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,4744368,147.6,26.8,1744,70,0,36.76,Médio
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,3309719,213.3,27.4,1377,66,4,41.6,Médio
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,2241504,78.1,31.3,791,37,0,35.29,Médio
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,3339168,126.2,27.2,1112,60,0,33.3,Médio
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,3475666,96.7,30.9,1291,58,2,37.14,Médio
2015,3,2015-03-01,Sudeste,SP,São Paulo,1143679,149.6,30.3,462,24,2,40.4,Médio
2015,3,2015-03-01,Sudeste,SP,Campinas,2196639,171.0,28.9,878,49,0,39.97,Médio
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,4340809,93.1,26.4,1331,64,4,30.66,Médio
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,1306563,101.1,28.2,429,25,1,32.83,Médio
2015,3,2015-03-01,Sudeste,RJ,Niterói,3937662,187.2,29.3,1710,83,3,43.43,Médio
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,470155,135.8,31.5,182,5,0,38.71,Médio
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,991163,74.4,26.4,259,8,0,26.13,Médio
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,1918769,212.0,30.1,872,34,2,45.45,Médio
2015,3,2015-03-01,Sudeste,MG,Uberlândia,1730800,129.8,28.0,574,31,1,33.16,Médio
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,4111541,187.9,25.1,1559,92,1,37.92,Médio
2015,3,2015-03-01,Sudeste,ES,Vitória,2511855,136.1,24.2,820,57,2,32.65,Médio
2015,3,2015-03-01,Sudeste,ES,Vila Velha,3828177,182.9,31.1,1701,64,1,44.43,Médio
2015,3,2015-03-01,Sudeste,ES,Serra,3549261,166.8,29.1,1506,68,2,42.43,Médio
2015,3,2015-03-01,Sul,PR,Curitiba,4367615,128.1,22.6,1314,67,1,30.09,Médio
2015,3,2015-03-01,Sul,PR,Londrina,3515388,171.1,18.5,1104,55,3,31.4,Médio
2015,3,2015-03-01,Sul,SC,Florianópolis,3895903,119.4,18.3,1006,42,2,25.82,Médio
2015,3,2015-03-01,Sul,SC,Joinville,1854582,106.2,21.3,474,33,0,25.56,Médio
2015,3,2015-03-01,Sul,RS,Porto Alegre,3811140,162.2,21.1,1286,79,0,33.74,Médio
2015,3,2015-03-01,Sul,RS,Caxias do Sul,2598434,223.6,23.5,1076,46,1,41.41,Médio
2015,4,2015-04-01,Norte,AM,Manaus,4043176,195.8,26.3,1668,86,3,41.25,Médio
2015,4,2015-04-01,Norte,PA,Belém,2668752,115.7,26.7,873,47,0,32.71,Médio
2015,4,2015-04-01,Norte,PA,Santarém,1161086,148.2,24.9,414,13,0,35.66,Médio
2015,4,2015-04-01,Norte,RO,Porto Velho,4431482,198.4,26.4,1846,88,3,41.66,Médio
2015,4,2015-04-01,Norte,TO,Palmas,3929026,130.2,27.7,1460,63,4,37.16,Médio
2015,4,2015-04-01,Nordeste,BA,Salvador,2719268,163.4,29.4,1090,53,0,40.08,Médio
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,3507158,129.6,27.2,1272,57,1,36.27,Médio
2015,4,2015-04-01,Nordeste,PE,Recife,1016685,136.1,24.8,376,21,0,36.98,Médio
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,2004591,149.5,29.9,791,49,3,39.46,Médio
2015,4,2015-04-01,Nordeste,CE,Fortaleza,3332200,142.3,26.1,1187,59,0,35.62,Médio
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,4907131,184.5,25.7,1922,105,4,39.17,Médio
2015,4,2015-04-01,Nordeste,MA,São Luís,1713387,124.5,29.0,624,38,1,36.42,Médio
2015,4,2015-04-01,Nordeste,PB,João Pessoa,1975643,154.8,25.8,671,34,0,33.96,Médio
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,2969638,198.2,26.9,1233,68,5,41.52,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,1405505,158.3,26.4,500,26,0,35.57,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,4019882,118.2,27.6,1412,73,0,35.13,Médio
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,3104264,95.4,25.3,877,36,0,28.25,Médio
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,3810971,203.3,26.5,1610,81,2,42.25,Médio
2015,4,2015-04-01,Sudeste,SP,São Paulo,4611332,189.0,29.0,2012,103,4,43.63,Médio
2015,4,2015-04-01,Sudeste,SP,Campinas,1287459,168.0,30.1,520,27,0,40.39,Médio
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,4616415,93.9,30.8,1695,86,3,36.72,Médio
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,3073367,126.7,26.5,1085,44,2,35.3,Médio
2015,4,2015-04-01,Sudeste,RJ,Niterói,153224,149.3,26.8,55,2,0,35.9,Médio
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,4978760,148.0,27.5,1861,81,0,37.38,Médio
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,3577698,126.9,26.2,1200,51,3,33.54,Médio
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,2315100,112.1,26.2,764,32,2,33.0,Médio
2015,4,2015-04-01,Sudeste,MG,Uberlândia,2601687,200.6,25.6,1028,41,1,39.51,Médio
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,1336191,211.4,26.9,597,26,0,44.68,Médio
2015,4,2015-04-01,Sudeste,ES,Vitória,4456979,201.6,26.6,1862,86,3,41.78,Médio
2015,4,2015-04-01,Sudeste,ES,Vila Velha,2386237,101.2,28.8,814,29,2,34.11,Médio
2015,4,2015-04-01,Sudeste,ES,Serra,1136018,122.4,31.4,427,20,1,37.59,Médio
2015,4,2015-04-01,Sul,PR,Curitiba,4433417,136.4,19.5,1264,74,2,28.51,Médio
2015,4,2015-04-01,Sul,PR,Londrina,4709033,120.2,19.3,1230,68,2,26.12,Médio
2015,4,2015-04-01,Sul,SC,Florianópolis,2849790,226.4,22.0,1103,48,1,38.7,Médio
2015,4,2015-04-01,Sul,SC,Joinville,3994291,92.6,19.6,965,51,2,24.16,Médio
2015,4,2015-04-01,Sul,RS,Porto Alegre,3554507,219.8,22.2,1407,71,1,39.58,Médio
2015,4,2015-04-01,Sul,RS,Caxias do Sul,2846276,106.5,19.1,771,43,2,27.09,Médio
2015,5,2015-05-01,Norte,AM,Manaus,369895,90.5,26.4,114,2,0,30.82,Médio
2015,5,2015-05-01,Norte,PA,Belém,1940151,66.5,24.9,517,29,0,26.65,Médio
2015,5,2015-05-01,Norte,PA,Santarém,2249055,96.1,26.7,711,35,0,31.61,Médio
2015,5,2015-05-01,Norte,RO,Porto Velho,3541103,39.7,27.4,912,58,4,25.75,Médio
2015,5,2015-05-01,Norte,TO,Palmas,3207694,94.3,25.3,926,49,2,28.87,Médio
2015,5,2015-05-01,Nordeste,BA,Salvador,351510,91.9,29.2,107,1,0,30.44,Médio
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,997162,49.4,23.9,230,13,0,23.07,Médio
2015,5,2015-05-01,Nordeste,PE,Recife,1454002,33.4,27.3,363,15,1,24.97,Médio
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,1892333,93.4,24.7,558,27,1,29.49,Médio
2015,5,2015-05-01,Nordeste,CE,Fortaleza,1258768,72.0,26.5,380,21,0,30.19,Médio
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,1336479,105.1,25.2,382,19,0,28.58,Médio
2015,5,2015-05-01,Nordeste,MA,São Luís,2009039,18.5,26.6,502,26,1,24.99,Médio
2015,5,2015-05-01,Nordeste,PB,João Pessoa,3600563,101.2,28.5,1234,52,1,34.27,Médio
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,3911577,43.8,25.0,934,45,1,23.88,Médio
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,3087122,27.7,27.1,743,33,5,24.07,Médio
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,2730712,72.6,25.9,817,41,0,29.92,Médio
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,3699685,154.7,24.7,1338,74,3,36.17,Médio
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,1159361,55.3,27.1,357,19,2,30.79,Médio
2015,5,2015-05-01,Sudeste,SP,São Paulo,4516765,46.4,26.4,1211,75,3,26.81,Médio
2015,5,2015-05-01,Sudeste,SP,Campinas,3654080,70.0,29.8,1215,52,1,33.25,Médio
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,470406,93.8,25.1,148,7,0,31.46,Médio
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,1461208,66.3,27.1,421,17,0,28.81,Médio
2015,5,2015-05-01,Sudeste,RJ,Niterói,791058,102.3,27.2,252,12,1,31.86,Médio
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,1517604,110.0,27.0,495,35,2,32.62,Médio
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,4082089,57.7,25.1,991,49,5,24.28,Médio
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,3797789,70.8,24.8,1054,64,0,27.75,Médio
2015,5,2015-05-01,Sudeste,MG,Uberlândia,1080144,50.8,33.0,364,21,0,33.7,Médio
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,3870324,81.3,29.5,1252,74,0,32.35,Médio
2015,5,2015-05-01,Sudeste,ES,Vitória,3680826,79.4,28.4,1127,63,1,30.62,Médio
2015,5,2015-05-01,Sudeste,ES,Vila Velha,3893461,73.8,26.6,1100,58,1,28.25,Médio
2015,5,2015-05-01,Sudeste,ES,Serra,484033,70.7,28.8,150,8,0,30.99,Médio
2015,5,2015-05-01,Sul,PR,Curitiba,3092529,53.5,20.9,665,38,0,21.5,Médio
2015,5,2015-05-01,Sul,PR,Londrina,1688408,74.7,23.7,467,15,1,27.66,Médio
2015,5,2015-05-01,Sul,SC,Florianópolis,3147919,87.6,19.9,771,53,0,24.49,Médio
2015,5,2015-05-01,Sul,SC,Joinville,3118688,70.6,23.6,772,33,0,24.75,Médio
2015,5,2015-05-01,Sul,RS,Porto Alegre,354320,112.9,20.3,85,10,0,23.99,Médio
2015,5,2015-05-01,Sul,RS,Caxias do Sul,921079,0.0,22.9,154,6,0,16.72,Baixo
2015,6,2015-06-01,Norte,AM,Manaus,4925853,82.4,25.5,1405,68,5,28.52,Médio
2015,6,2015-06-01,Norte,PA,Belém,4355987,107.2,23.3,1302,73,3,29.89,Médio
2015,6,2015-06-01,Norte,PA,Santarém,3712479,116.4,28.1,1271,70,1,34.24,Médio
2015,6,2015-06-01,Norte,RO,Porto Velho,473997,31.6,25.4,110,7,1,23.21,Médio
2015,6,2015-06-01,Norte,TO,Palmas,1106736,75.9,27.8,310,19,0,28.01,Médio
2015,6,2015-06-01,Nordeste,BA,Salvador,309249,84.6,30.7,93,3,0,30.07,Médio
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,2558914,114.9,22.7,739,35,1,28.88,Médio
2015,6,2015-06-01,Nordeste,PE,Recife,4331371,112.4,26.0,1466,75,2,33.85,Médio
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,3219323,94.0,28.1,1042,62,1,32.37,Médio
2015,6,2015-06-01,Nordeste,CE,Fortaleza,3500525,111.3,29.8,1291,71,3,36.88,Médio
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,1686469,98.8,25.0,494,20,4,29.29,Médio
2015,6,2015-06-01,Nordeste,MA,São Luís,1496123,0.0,24.3,305,13,1,20.39,Médio
2015,6,2015-06-01,Nordeste,PB,João Pessoa,997812,63.2,29.5,290,16,1,29.06,Médio
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,3617714,55.7,26.4,1006,49,0,27.81,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,4574690,10.8,26.3,1028,52,3,22.47,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,4142262,93.9,32.0,1503,80,2,36.28,Médio
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,357360,70.8,28.9,115,6,0,32.18,Médio
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,190490,105.4,29.3,70,1,0,36.75,Médio
2015,6,2015-06-01,Sudeste,SP,São Paulo,233144,90.8,26.8,59,3,0,25.31,Médio
2015,6,2015-06-01,Sudeste,SP,Campinas,726313,138.7,29.0,274,14,0,37.72,Médio
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,772159,80.6,28.2,252,16,0,32.64,Médio
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,3719248,65.2,27.1,1056,43,3,28.39,Médio
2015,6,2015-06-01,Sudeste,RJ,Niterói,3763957,103.2,28.4,1243,82,3,33.02,Médio
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,4994111,68.4,26.2,1399,79,2,28.01,Médio
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,3735606,90.8,26.9,1155,42,0,30.92,Médio
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,3173152,9.6,23.7,627,33,0,19.76,Baixo
2015,6,2015-06-01,Sudeste,MG,Uberlândia,3432931,0.0,27.3,771,42,1,22.46,Médio
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,2229445,63.6,27.9,641,32,0,28.75,Médio
2015,6,2015-06-01,Sudeste,ES,Vitória,889120,92.1,24.3,271,10,0,30.48,Médio
2015,6,2015-06-01,Sudeste,ES,Vila Velha,2840661,130.1,29.6,1089,56,0,38.34,Médio
2015,6,2015-06-01,Sudeste,ES,Serra,1127832,49.1,27.1,338,16,0,29.97,Médio
2015,6,2015-06-01,Sul,PR,Curitiba,4042721,0.0,21.0,654,42,0,16.18,Baixo
2015,6,2015-06-01,Sul,PR,Londrina,451696,29.7,19.3,73,5,0,16.16,Baixo
2015,6,2015-06-01,Sul,SC,Florianópolis,2804244,129.5,23.1,884,32,0,31.52,Médio
2015,6,2015-06-01,Sul,SC,Joinville,1260245,90.3,18.2,290,18,0,23.01,Médio
2015,6,2015-06-01,Sul,RS,Porto Alegre,510669,65.9,23.3,149,11,1,29.18,Médio
2015,6,2015-06-01,Sul,RS,Caxias do Sul,4302081,90.4,22.0,1108,66,1,25.75,Médio
2015,7,2015-07-01,Norte,AM,Manaus,3143230,37.3,25.1,720,38,2,22.91,Médio
2015,7,2015-07-01,Norte,PA,Belém,3633112,43.9,26.0,915,62,1,25.19,Médio
2015,7,2015-07-01,Norte,PA,Santarém,1299757,67.2,26.1,342,16,2,26.31,Médio
2015,7,2015-07-01,Norte,RO,Porto Velho,1877622,0.0,29.9,461,22,2,24.55,Médio
2015,7,2015-07-01,Norte,TO,Palmas,4241852,96.0,26.9,1336,57,1,31.5,Médio
2015,7,2015-07-01,Nordeste,BA,Salvador,2069500,67.8,27.3,581,32,0,28.07,Médio
2015,7,2015-07-01,Nordeste,BA,Feira de Santana,1017296,58.7,27.9,274,12,1,26.93,Médio
2015,7,2015-07-01,Nordeste,PE,Recife,4428297,2.7,26.9,995,67,2,22.47,Médio
2015,7,2015-07-01,Nordeste,PE,Jaboatão dos Guararapes,1791735,27.3,27.2,437,16,0,24.39,Médio
2015,7,2015-07-01,Nordeste,CE,Fortaleza,2617405,25.5,27.0,684,34,0,26.13,Médio
2015,7,2015-07-01,Nordeste,CE,Juazeiro do Norte,1738756,131.2,26.8,617,37,1,35.49,Médio
2015,7,2015-07-01,Nordeste,MA,São Luís,1120565,102.1,26.3,332,16,0,29.63,Médio
2015,7,2015-07-01,Nordeste,PB,João Pessoa,1343236,45.2,29.1,407,20,0,30.3,Médio
2015,7,2015-07-01,Centro-Oeste,DF,Brasília,2338883,95.5,27.3,727,36,1,31.08,Médio
2015,7,2015-07-01,Centro-Oeste,GO,Goiânia,3641979,93.8,25.9,1055,56,0,28.97,Médio
2015,7,2015-07-01,Centro-Oeste,GO,Aparecida de Goiânia,351929,108.5,25.5,128,8,0,36.37,Médio
2015,7,2015-07-01,Centro-Oeste,MT,Cuiabá,3849412,103.2,24.7,1183,63,3,30.73,Médio
2015,7,2015-07-01,Centro-Oeste,MS,Campo Grande,3684594,77.4,28.5,1154,52,3,31.32,Médio
2015,7,2015-07-01,Sudeste,SP,São Paulo,2814323,102.9,27.6,961,44,3,34.15,Médio
2015,7,2015-07-01,Sudeste,SP,Campinas,785180,92.3,27.8,246,9,0,31.33,Médio
2015,7,2015-07-01,Sudeste,SP,Ribeirão Preto,2127303,36.7,28.0,520,27,2,24.44,Médio
2015,7,2015-07-01,Sudeste,RJ,Rio de Janeiro,966772,121.1,29.2,348,15,0,36.0,Médio
2015,7,2015-07-01,Sudeste,RJ,Niterói,180902,136.4,26.2,70,4,0,38.69,Médio
2015,7,2015-07-01,Sudeste,RJ,Nova Iguaçu,1530920,76.3,25.2,402,22,2,26.26,Médio
2015,7,2015-07-01,Sudeste,RJ,Petrópolis,1866445,98.1,27.1,597,29,1,31.99,Médio
2015,7,2015-07-01,Sudeste,MG,Belo Horizonte,4861975,52.5,27.0,1332,65,3,27.4,Médio
2015,7,2015-07-01,Sudeste,MG,Uberlândia,2508108,24.9,27.7,664,31,2,26.47,Médio
2015,7,2015-07-01,Sudeste,MG,Juiz de Fora,2675822,122.9,27.4,942,42,0,35.2,Médio
2015,7,2015-07-01,Sudeste,ES,Vitória,1672033,29.6,23.4,363,20,1,21.71,Médio
2015,7,2015-07-01,Sudeste,ES,Vila Velha,2128107,104.3,27.3,743,37,1,34.91,Médio
2015,7,2015-07-01,Sudeste,ES,Serra,4951122,102.6,29.9,1761,98,1,35.57,Médio
2015,7,2015-07-01,Sul,PR,Curitiba,4291091,89.4,19.5,963,51,2,22.44,Médio
2015,7,2015-07-01,Sul,PR,Londrina,4364793,75.3,20.6,1004,55,0,23.0,Médio
2015,7,2015-07-01,Sul,SC,Florianópolis,1551592,83.1,19.9,304,10,0,19.59,Baixo
